,influencer_name,follower_name
6020,The Band,Eric Clapton
6021,The Beatles,Eric Carmen
6022,Bob Dylan,Eric Clapton
6023,Chuck Berry,Eric Clapton
6024,Chuck Berry,Funkadelic
6025,Frank Zappa,Funkadelic
6026,Led Zeppelin,Funkadelic
6027,Jimi Hendrix,Funkadelic
6028,The Beatles,Funkadelic
6029,Little Richard,Funkadelic
6030,The Rolling Stones,Funkadelic
6031,Television,Unwound
6032,J.J. Cale,Eric Clapton
6033,David Essex,Colin Hay
6034,Bowling for Soup,The Matches
6035,The White Stripes,Kings of Leon
6036,Bad Brains,Poison the Well
6037,All,Rancid
6038,Hellhammer,Mayhem
6039,Rush,Poison the Well
6040,Black Sabbath,Poison the Well
6041,T. Rex,Roxette
6042,The Mamas & the Papas,Roxette
6043,Boney M.,Roxette
6044,Culture Club,Roxette
6045,Madonna,Roxette
6046,George Michael,Roxette
6047,Mercyful Fate,Mayhem
6048,Golden Earring,Roxette
6049,The Yardbirds,The Sonics
6050,The Association,Roxette
6051,MDC,Rancid
6052,The Everly Brothers,Poco
6053,"10,000 Maniacs",Lisa Loeb
6054,Deep Purple,Sammy Hagar
6055,Smashing Pumpkins,Poison the Well
6056,Social Distortion,Rancid
6057,The Beatles,Roxette
6058,Bad Religion,Rancid
6059,Venom,Mayhem
6060,Bay City Rollers,Plastic Bertrand
6061,Ramones,Plastic Bertrand
6062,Tommy James & the Shondells,Plastic Bertrand
6063,Sweet,Plastic Bertrand
6064,Venom,Possessed
6065,Black Sabbath,Possessed
6066,Kiss,Scorpions
6067,Cream,Scorpions
6068,Scorpions,Metallica
6069,Led Zeppelin,Scorpions
6070,Jimi Hendrix,Scorpions
6071,Nazareth,Scorpions
6072,Golden Earring,Scorpions
6073,Black Sabbath,Scorpions
6074,Uriah Heep,Scorpions
6075,Celtic Frost,Mayhem
6076,Queen,Scorpions
6077,The Beach Boys,Plastic Bertrand
6078,ABBA,Roxette
6079,Deep Purple,Scorpions
6080,Bad Brains,Rancid
6081,Alice Cooper,Sammy Hagar
6082,Jerry Lee Lewis,Rory Gallagher
6083,Donovan,Linda Perhacs
6084,T. Rex,Love and Rockets
6085,The Fall,Love and Rockets
6086,Lou Reed,Love and Rockets
6087,Joy Division,Love and Rockets
6088,New Order,Love and Rockets
6089,Pink Floyd,Love and Rockets
6090,David Bowie,Love and Rockets
6091,The Rolling Stones,Rory Gallagher
6092,Wire,Love and Rockets
6093,The Velvet Underground,Love and Rockets
6094,The Moody Blues,Phil Collins
6095,Ringo Starr,Phil Collins
6096,King Crimson,Phil Collins
6097,Anti-Nowhere League,Rancid
6098,Ramones,Rancid
6099,Diamond Head,Metallica
6100,The Specials,Rancid
6101,Operation Ivy,Rancid
6102,Tim Buckley,Linda Perhacs
6103,Tim Hardin,Linda Perhacs
6104,Love,Linda Perhacs
6105,Joni Mitchell,Linda Perhacs
6106,Van Morrison,Rory Gallagher
6107,Bad Company,Sammy Hagar
6108,Led Zeppelin,Sammy Hagar
6109,Edgar Winter,Sammy Hagar
6110,Jeff Beck,Rory Gallagher
6111,Robert Plant,Sammy Hagar
6112,Elvis Presley,Rory Gallagher
6113,Chuck Berry,Rory Gallagher
6114,Cream,Rory Gallagher
6115,Jimi Hendrix,Rory Gallagher
6116,Elton John,Phil Collins
6117,Daryl Hall & John Oates,Phil Collins
6118,Argent,Phil Collins
6119,Georgie Fame,Phil Collins
6120,The Yardbirds,Rory Gallagher
6121,Wendy & Lisa,Plastilina Mosh
6122,Peter Green,Rory Gallagher
6123,Roxy Music,Love and Rockets
6124,Laura Nyro,Linda Perhacs
6125,Eva Cassidy,CÃ©u
6126,The Beatles,Phil Collins
6127,Free,Sammy Hagar
6128,Bad Manners,Rancid
6129,Leif Garrett,The Naked Brothers Band
6130,Donny Osmond,Leif Garrett
6131,The Partridge Family,Leif Garrett
6132,David Cassidy,Leif Garrett
6133,Tommy Sands,Leif Garrett
6134,Barry Manilow,Michael Bolton
6135,Paul Stanley,Rob Zombie
6136,The Stooges,Rob Zombie
6137,Chicago,Michael Bolton
6138,Twisted Sister,Rob Zombie
6139,Meat Loaf,Michael Bolton
6140,MC5,Rob Zombie
6141,Gene Simmons,Rob Zombie
6142,Rod Stewart,Michael Bolton
6143,Journey,Michael Bolton
6144,Joe Cocker,Michael Bolton
6145,Bob Seger,Michael Bolton
6146,MÃ¶tley CrÃ¼e,Rob Zombie
6147,Megadeth,Rob Zombie
6148,Sex Pistols,Rob Zombie
6149,Elton John,Matthew Sweet
6150,Emitt Rhodes,Matthew Sweet
6151,Roger McGuinn,Matthew Sweet
6152,Marshall Crenshaw,Matthew Sweet
6153,King Crimson,Neurosis
6154,Swans,Neurosis
6155,Pantera,Neurosis
6156,The Velvet Underground,Neu!
6157,The Stooges,Neu!
6158,Jimi Hendrix,Neu!
6159,Pink Floyd,Neu!
6160,Kiss,Rob Zombie
6161,Michael McDonald,Michael Bolton
6162,Steve Winwood,Michael Bolton
6163,The Cramps,Rob Zombie
6164,Todd Rundgren,Matthew Sweet
6165,Black Sabbath,Rob Zombie
6166,Elton John,Rob Zombie
6167,Misfits,Rob Zombie
6168,20/20,Matthew Sweet
6169,Tab Hunter,Leif Garrett
6170,Bobby Rydell,Leif Garrett
6171,Nick Lowe,Matthew Sweet
6172,Frankie Avalon,Leif Garrett
6173,The Damned,Rob Zombie
6174,The Clash,Rancid
6175,Ministry,Rob Zombie
6176,Metallica,Rob Zombie
6177,U.K. Subs,Rancid
6178,The Rolling Stones,The Sonics
6179,Golden Earring,2 Brothers on the 4th Floor
6180,The English Beat,Rancid
6181,Bob Dylan,Poco
6182,The International Submarine Band,Poco
6183,Judas Priest,Metallica
6184,The Beau Brummels,Poco
6185,Deep Purple,Metallica
6186,Madness,Rancid
6187,Gene Clark,Poco
6188,Lynyrd Skynyrd,Metallica
6189,Led Zeppelin,Metallica
6190,The Byrds,Poco
6191,Iron Maiden,Metallica
6192,The Beatles,Poco
6193,Killing Joke,Metallica
6194,Blue Ã–yster Cult,Metallica
6195,Buffalo Springfield,Poco
6196,Little Richard,The Sonics
6197,Slayer,Poison the Well
6198,Black Flag,Rancid
6199,Soundgarden,Poison the Well
6200,Ramones,Rob Zombie
6201,Stevie Nicks,Madonna
6202,Jimi Hendrix,Otis Taylor
6203,Stevie Nicks,Martina McBride
6204,Crass,Rancid
6205,Joe Strummer,Rancid
6206,Gram Parsons,Poco
6207,The Archies,The Rubinoos
6208,Sham 69,Rancid
6209,Ozzy Osbourne,Rob Zombie
6210,The Hollies,The Rubinoos
6211,D.O.A.,Rancid
6212,The Damned,Rancid
6213,The Beatles,The Rubinoos
6214,Nirvana,Rancid
6215,Carl Perkins,The Sonics
6216,Todd Rundgren,The Rubinoos
6217,The Kingsmen,The Sonics
6218,Circle Jerks,Rancid
6219,Conflict,Rancid
6220,Tommy James & the Shondells,The Rubinoos
6221,Procol Harum,Sammy Hagar
6222,Van Morrison,Sammy Hagar
6223,Jimmy Buffett,Sammy Hagar
6224,Bob Dylan,Prefab Sprout
6225,Jimmy Webb,Prefab Sprout
6226,Love,Prefab Sprout
6227,Nick Drake,Prefab Sprout
6228,Randy Newman,Prefab Sprout
6229,Burt Bacharach,Prefab Sprout
6230,The Beatles,Prefab Sprout
6231,Colin Blunstone,Prefab Sprout
6232,Chuck Berry,The Sonics
6233,ABBA,Prefab Sprout
6234,Thomas Dolby,Prefab Sprout
6235,Todd Rundgren,Prefab Sprout
6236,Robert Wyatt,Rick Wakeman
6237,Hawkwind,Rick Wakeman
6238,Soft Machine,Rick Wakeman
6239,Renaissance,Rick Wakeman
6240,The Flaming Lips,Blitzen Trapper
6241,Bee Gees,Prefab Sprout
6242,Paul McCartney,Prefab Sprout
6243,The Beach Boys,Prefab Sprout
6244,The Velvet Underground,New Order
6245,Ultravox,New Order
6246,Wire,New Order
6247,Santana,Phish
6248,Led Zeppelin,Kansas
6249,"Emerson, Lake & Palmer",Kansas
6250,Curved Air,Kansas
6251,Deep Purple,Kansas
6252,Genesis,Kansas
6253,Procol Harum,Kansas
6254,The Moody Blues,Kansas
6255,Wishbone Ash,Kansas
6256,Pink Floyd,Blitzen Trapper
6257,Yes,Kansas
6258,The Who,Phish
6259,The Allman Brothers Band,Kansas
6260,NRBQ,Phish
6261,Pink Floyd,Phish
6262,Meat Puppets,Phish
6263,Rare Earth,Phish
6264,Quicksilver Messenger Service,Phish
6265,Little Feat,Phish
6266,The Beatles,Kansas
6267,Los Lobos,Ozomatli
6268,Queen,Kansas
6269,Steely Dan,Prefab Sprout
6270,Cheap Trick,Urge Overkill
6271,M. Ward,Matt Costa
6272,Dan Fogelberg,Matt Costa
6273,Slipknot,Hollywood Undead
6274,Nine Inch Nails,Hollywood Undead
6275,Dusty Springfield,Lisa Stansfield
6276,Big Black,Mclusky
6277,Linkin Park,Hollywood Undead
6278,Gavin DeGraw,Matt Costa
6279,Jack Johnson,Matt Costa
6280,Annie Lennox,Lisa Stansfield
6281,Saliva,Hollywood Undead
6282,Downset,Hollywood Undead
6283,Saint Etienne,Portishead
6284,Barry Adamson,Portishead
6285,Grateful Dead,Blitzen Trapper
6286,Burt Bacharach,Portishead
6287,Bob Dylan,Junior Brown
6288,Duane Eddy,Junior Brown
6289,The Kinks,The Sonics
6290,Van Morrison,Matt Costa
6291,Incubus,Hollywood Undead
6292,Accept,Running Wild
6293,The Sugarcubes,Portishead
6294,Slayer,Mayhem
6295,Frank Black,Urge Overkill
6296,Little Richard,Ronnie Milsap
6297,Elvis Presley,Ronnie Milsap
6298,Love,Urge Overkill
6299,The Replacements,Urge Overkill
6300,Ramones,Urge Overkill
6301,Pretenders,Urge Overkill
6302,AC/DC,Urge Overkill
6303,Kiss,Urge Overkill
6304,Thin Lizzy,Urge Overkill
6305,Soul Asylum,Urge Overkill
6306,Neil Diamond,Urge Overkill
6307,Rage Against the Machine,Hollywood Undead
6308,The Rolling Stones,Urge Overkill
6309,Beck,Blitzen Trapper
6310,The Velvet Underground,Blitzen Trapper
6311,Roxy Music,New Order
6312,Nick Drake,Matt Costa
6313,Nico,Portishead
6314,HÃ¼sker DÃ¼,Urge Overkill
6315,James,The Shins
6316,Traffic,Phish
6317,Happy Mondays,Utah Saints
6318,X,Rancid
6319,Stiff Little Fingers,Rancid
6320,Agnostic Front,Rancid
6321,The Undertones,Rancid
6322,Cock Sparrer,Rancid
6323,The Exploited,Rancid
6324,Bathory,Mayhem
6325,Iron Maiden,Mayhem
6326,Sodom,Mayhem
6327,Elvis Presley,Phil Ochs
6328,Ministry,Rammstein
6329,KMFDM,Rammstein
6330,Nitzer Ebb,Rammstein
6331,Nine Inch Nails,Rammstein
6332,Depeche Mode,Rammstein
6333,Korn,Rammstein
6334,The Legendary Pink Dots,Rammstein
6335,Buddy Holly,Phil Ochs
6336,Bob Dylan,Phil Ochs
6337,Simon & Garfunkel,Nick Drake
6338,Bob Dylan,Nick Drake
6339,Leonard Cohen,Nick Drake
6340,James Taylor,Nick Drake
6341,Nazareth,Sammy Hagar
6342,Minor Threat,Rancid
6343,The Yardbirds,Sammy Hagar
6344,The Who,Sammy Hagar
6345,Thin Lizzy,Sammy Hagar
6346,Grand Funk Railroad,Sammy Hagar
6347,Sex Pistols,Rancid
6348,Ted Nugent,Sammy Hagar
6349,Dick Dale,Sammy Hagar
6350,The Birthday Party,Urge Overkill
6351,Saxon,Metallica
6352,Paul McCartney,Phil Collins
6353,Angelic Upstarts,Rancid
6354,The Action,Phil Collins
6355,Peter Sarstedt,Nick Drake
6356,Donovan,Nick Drake
6357,Tim Buckley,Nick Drake
6358,Tim Hardin,Nick Drake
6359,Roy Harper,Nick Drake
6360,Van Morrison,Nick Drake
6361,The Business,Rancid
6362,ABC,Roger Sanchez
6363,Captain Beefheart,Phish
6364,Grateful Dead,Phish
6365,The Clash,New Model Army
6366,White Zombie,Rammstein
6367,The Allman Brothers Band,Phish
6368,King Crimson,Kansas
6369,Barclay James Harvest,Kansas
6370,Jethro Tull,Kansas
6371,Hot Tuna,Phish
6372,Robert Fripp,Phish
6373,Frank Zappa,Phish
6374,The Damned,New Model Army
6375,Talking Heads,Phish
6376,Country Joe & the Fish,Phish
6377,Bob Weir,Phish
6378,King Crimson,Phish
6379,The Beach Boys,The Shins
6380,Big Star,The Shins
6381,Badfinger,The Shins
6382,The Flaming Lips,The Shins
6383,The Chills,The Shins
6384,The Kinks,The Shins
6385,Ministry,Utah Saints
6386,Lagwagon,Me First and the Gimme Gimmes
6387,Sex Pistols,New Model Army
6388,Naked Eyes,New Musik
6389,Canned Heat,Phish
6390,Buddy Miles,Phish
6391,Chumbawamba,Phish
6392,The Beatles,Phish
6393,Spirit,Phish
6394,Godflesh,Rammstein
6395,Helmet,Rammstein
6396,Alien Sex Fiend,Rammstein
6397,Skinny Puppy,Rammstein
6398,The Undertones,New Model Army
6399,Giorgio Moroder,New Order
6400,Brian Eno,New Order
6401,The Beach Boys,Matt Costa
6402,David Bowie,New Order
6403,Suicide,New Order
6404,Gary Numan,New Order
6405,Peter Gabriel,Ozomatli
6406,The Beatles,Marmalade
6407,Fishbone,Ozomatli
6408,Bee Gees,Marmalade
6409,Can,New Order
6410,Donovan,Matt Costa
6411,Crass,Neurosis
6412,Celtic Frost,Neurosis
6413,Foo Fighters,The Matches
6414,Green Day,The Matches
6415,Bad Religion,The Matches
6416,Jennifer Lopez,Aly & AJ
6417,Ryan Adams,Mason Jennings
6418,Freedy Johnston,Mason Jennings
6419,Neil Young,Mason Jennings
6420,Graham Nash,Mason Jennings
6421,Beck,Mason Jennings
6422,Billy Bragg,Mason Jennings
6423,Bob Dylan,Mason Jennings
6424,Bob Mould,Mason Jennings
6425,Paul Westerberg,Mason Jennings
6426,Lenny Kravitz,Macy Gray
6427,The Beatles,Material Issue
6428,The Beatles,The Moody Blues
6429,Jefferson Airplane,The Moody Blues
6430,Crowded House,Howie Day
6431,Little Richard,Lou Reed
6432,Atomic Kitten,Aly & AJ
6433,Mandy Moore,Aly & AJ
6434,Elvis Costello,The Matches
6435,Donovan,The Moody Blues
6436,Elton John,Michel Berger
6437,The Byrds,Material Issue
6438,Tom Petty,Material Issue
6439,Bread,Olivia Newton-John
6440,Petula Clark,Olivia Newton-John
6441,Lulu,Olivia Newton-John
6442,The Rolling Stones,The Monks
6443,The Beach Boys,The Moody Blues
6444,Bob Dylan,The Moody Blues
6445,The Vandals,The Offspring
6446,Sandie Shaw,Olivia Newton-John
6447,The Who,The Moody Blues
6448,Cilla Black,Olivia Newton-John
6449,Connie Francis,Olivia Newton-John
6450,Bee Gees,Olivia Newton-John
6451,Patty Duke,Olivia Newton-John
6452,X,The Offspring
6453,The Who,Material Issue
6454,Jerry Lee Lewis,Michel Berger
6455,Neneh Cherry,Macy Gray
6456,Pink Floyd,The Moody Blues
6457,Lenny Kravitz,Robin Thicke
6458,Fear,The Offspring
6459,Bob Dylan,Josh Ritter
6460,The Hollies,Material Issue
6461,The Exploited,Me First and the Gimme Gimmes
6462,The Knack,Material Issue
6463,Bob Dylan,Lou Reed
6464,Chuck Berry,Lou Reed
6465,Elvis Presley,Lou Reed
6466,Dion,Lou Reed
6467,The Jam,Material Issue
6468,Big Star,Material Issue
6469,The Fugs,Lou Reed
6470,Avril Lavigne,Aly & AJ
6471,Debbie Gibson,Aly & AJ
6472,Michelle Branch,Aly & AJ
6473,Buddy Holly,John Lennon
6474,Carl Perkins,John Lennon
6475,Eddie Cochran,John Lennon
6476,Travis,James Blunt
6477,Little Richard,John Lennon
6478,Roy Orbison,John Lennon
6479,Cheap Trick,Material Issue
6480,The Rubinoos,Material Issue
6481,Ramones,Me First and the Gimme Gimmes
6482,NOFX,Me First and the Gimme Gimmes
6483,The Slits,M.I.A.
6484,Leonard Cohen,Josh Ritter
6485,Elliott Smith,Josh Ritter
6486,Neneh Cherry,M.I.A.
6487,Mark Lanegan,Josh Ritter
6488,Black Sabbath,Neurosis
6489,Nick Drake,Josh Ritter
6490,The Mountain Goats,Josh Ritter
6491,Alejandro Escovedo,Josh Ritter
6492,Elvis Costello,Josh Ritter
6493,Bruce Hornsby,Josh Ritter
6494,Suzanne Vega,Josh Ritter
6495,Ryan Adams,Josh Ritter
6496,The Rolling Stones,Lou Reed
6497,Gorilla Biscuits,The Offspring
6498,The dB's,Material Issue
6499,Gene Vincent,Lou Reed
6500,Bad Religion,Me First and the Gimme Gimmes
6501,The Dickies,Me First and the Gimme Gimmes
6502,Descendents,Me First and the Gimme Gimmes
6503,Brian Eno,Neurosis
6504,Grateful Dead,New Grass Revival
6505,LCD Soundsystem,Klaxons
6506,The Clash,Operation Ivy
6507,BjÃ¶rk,Lemon Jelly
6508,Saint Etienne,Lemon Jelly
6509,The Rolling Stones,Redd Kross
6510,Van der Graaf Generator,The Rockets
6511,David Bowie,The Rockets
6512,Bob Dylan,Matt Nathanson
6513,Counting Crows,Matt Nathanson
6514,Rodriguez,Midnight Oil
6515,Duncan Sheik,Matt Nathanson
6516,Ben Harper,Matt Nathanson
6517,D.O.A.,Operation Ivy
6518,Aimee Mann,Matt Nathanson
6519,Toad the Wet Sprocket,Matt Nathanson
6520,Harry Nilsson,Sam Phillips
6521,Brian Wilson,Sam Phillips
6522,Marianne Faithfull,Sam Phillips
6523,The Beatles,Sam Phillips
6524,Suzanne Vega,Sam Phillips
6525,The Left Banke,Sam Phillips
6526,Peter Gabriel,Midnight Oil
6527,Spiritualized,Lemon Jelly
6528,Yes,Dennis DeYoung
6529,Neneh Cherry,Rachelle Ferrell
6530,The Bonzo Dog Band,R. Stevie Moore
6531,Alice Cooper,Megadeth
6532,The Beatles,R. Stevie Moore
6533,XTC,R. Stevie Moore
6534,Buddy Holly,R. Stevie Moore
6535,They Might Be Giants,R. Stevie Moore
6536,Roky Erickson,R. Stevie Moore
6537,Frank Zappa,R. Stevie Moore
6538,The Rolling Stones,North Mississippi Allstars
6539,The Verve,Matt Nathanson
6540,Superchunk,Weezer
6541,Bon Jovi,Matt Nathanson
6542,Tracy Chapman,Matt Nathanson
6543,Spin Doctors,Matt Nathanson
6544,The Who,Midnight Oil
6545,Nico,Sam Phillips
6546,Split Enz,Midnight Oil
6547,Black Flag,Operation Ivy
6548,Journey,Dennis DeYoung
6549,The Go-Betweens,Midnight Oil
6550,Teenage Fanclub,Weezer
6551,The Mighty Mighty Bosstones,Reel Big Fish
6552,Van Dyke Parks,Sam Phillips
6553,Harry Chapin,Matt Nathanson
6554,Television,Razorlight
6555,Grateful Dead,North Mississippi Allstars
6556,Kiss,Redd Kross
6557,Faith No More,Saliva
6558,New York Dolls,Redd Kross
6559,Alice in Chains,Saliva
6560,Tesla,Saliva
6561,Pearl Jam,Saliva
6562,Blind Melon,Saliva
6563,Ramones,Redd Kross
6564,Korn,Saliva
6565,Lynyrd Skynyrd,Saliva
6566,Cheap Trick,Redd Kross
6567,311,Saliva
6568,Grand Funk Railroad,Saliva
6569,The Rezillos,Redd Kross
6570,Sex Pistols,Redd Kross
6571,The Dickies,Redd Kross
6572,Dr. John,Johnny Adams
6573,Molly Hatchet,North Mississippi Allstars
6574,Buddy Miles,North Mississippi Allstars
6575,Queen,Razorlight
6576,Pop Will Eat Itself,Razorlight
6577,Nick Lowe,Sam Phillips
6578,Michael Penn,Matt Nathanson
6579,James Taylor,Matt Nathanson
6580,Brian Eno,The Rockets
6581,Can,The Rockets
6582,Roxy Music,The Rockets
6583,Soundgarden,Saliva
6584,Elvis Costello,Razorlight
6585,The Clash,Razorlight
6586,Circle Jerks,Operation Ivy
6587,The Jam,Razorlight
6588,Gang of Four,Razorlight
6589,U2,Razorlight
6590,Lou Reed,Razorlight
6591,Pulp,Razorlight
6592,Radiohead,Razorlight
6593,The Only Ones,Razorlight
6594,David Bowie,Razorlight
6595,The Strokes,Razorlight
6596,Blur,Razorlight
6597,Talking Heads,Razorlight
6598,The Beatles,Michael Card
6599,Soundgarden,Days of the New
6600,Alice in Chains,Days of the New
6601,Eddie Cochran,The Motors
6602,Talking Heads,Delta 5
6603,Sex Pistols,Delta 5
6604,The Beatles,The Mothers of Invention
6605,Jimi Hendrix,Robert Fripp
6606,Steve Winwood,Robin Thicke
6607,The Apples in Stereo,The Microphones
6608,Circle Jerks,The Offspring
6609,Cheap Trick,The Offspring
6610,The Mountain Goats,The Microphones
6611,Black Flag,The Offspring
6612,The Jam,The Offspring
6613,The Clash,The Offspring
6614,Bad Religion,The Offspring
6615,The Beau Brummels,The Motors
6616,Converge,Norma Jean
6617,Dead Boys,The Offspring
6618,Vision of Disorder,Norma Jean
6619,The Damned,The Offspring
6620,The Clash,Delta 5
6621,The Beatles,The Motors
6622,Pantera,Norma Jean
6623,Korn,Norma Jean
6624,Cher,Madonna
6625,The Left Banke,Matthew Sweet
6626,Nancy Sinatra,Madonna
6627,The Beatles,Matthew Sweet
6628,Wreckless Eric,Matthew Sweet
6629,XTC,Matthew Sweet
6630,The Byrds,Matthew Sweet
6631,Brian Wilson,Matthew Sweet
6632,The Zombies,Matthew Sweet
6633,Elvis Costello,Matthew Sweet
6634,Buddy Holly,Matthew Sweet
6635,The dB's,Matthew Sweet
6636,The Plimsouls,Matthew Sweet
6637,The Shangri-Las,Madonna
6638,David Bowie,Madonna
6639,The Move,Matthew Sweet
6640,Michael Nesmith,Matthew Sweet
6641,Nirvana,The Offspring
6642,Sham 69,The Offspring
6643,Jeff Buckley,Howie Day
6644,The Soft Boys,Matthew Sweet
6645,The Replacements,Matthew Sweet
6646,Big Star,Matthew Sweet
6647,U2,Deacon Blue
6648,Daryl Hall & John Oates,Michael Bolton
6649,Jackie DeShannon,Debbie Harry
6650,Sandie Shaw,Debbie Harry
6651,Petula Clark,Debbie Harry
6652,The Shangri-Las,Debbie Harry
6653,New York Dolls,Debbie Harry
6654,Tom Jones,Michael Bolton
6655,Alice Cooper,Rob Zombie
6656,Slayer,Rob Zombie
6657,Keith Relf,John Kay
6658,Jimi Hendrix,Mahavishnu Orchestra
6659,Paul Anka,Leif Garrett
6660,Gino Vannelli,Michael Bolton
6661,Richard Ashcroft,Howie Day
6662,Radiohead,Howie Day
6663,Sting,Howie Day
6664,Dave Matthews,Howie Day
6665,Ben Harper,Howie Day
6666,Napalm Death,Neurosis
6667,Neil Diamond,Me First and the Gimme Gimmes
6668,Elton John,Michael Bolton
6669,Dead Kennedys,Me First and the Gimme Gimmes
6670,Neil Diamond,Michael Bolton
6671,Carpenters,Matthew Sweet
6672,The Everly Brothers,Matthew Sweet
6673,The Beach Boys,Matthew Sweet
6674,Simon & Garfunkel,Matthew Sweet
6675,Paul Collins,Matthew Sweet
6676,Television,Matthew Sweet
6677,Teenage Fanclub,Matthew Sweet
6678,Chuck Berry,The Motors
6679,Deftones,Norma Jean
6680,Steely Dan,Deacon Blue
6681,Helmet,Norma Jean
6682,Limp Bizkit,Norma Jean
6683,Carpenters,Madonna
6684,Blondie,Madonna
6685,Squeeze,Matthew Sweet
6686,Danny Thompson,Mahavishnu Orchestra
6687,John Lennon,John Kay
6688,Jimi Hendrix,John Kay
6689,Mick Jagger,John Kay
6690,Wanda Jackson,Loretta Lynn
6691,Metallica,Norma Jean
6692,Descendents,The Offspring
6693,Neil Young,Matthew Sweet
6694,R.E.M.,Matthew Sweet
6695,Bob Dylan,John Lennon
6696,Chuck Berry,John Lennon
6697,Elvis Presley,John Lennon
6698,Jerry Lee Lewis,John Lennon
6699,Simon & Garfunkel,James Blunt
6700,Fountains of Wayne,OK Go
6701,Guided by Voices,OK Go
6702,Material Issue,OK Go
6703,Weezer,OK Go
6704,10cc,Oingo Boingo
6705,The Police,Oingo Boingo
6706,Devo,Oingo Boingo
6707,Frank Zappa,Oingo Boingo
6708,Talking Heads,Oingo Boingo
6709,Sparks,Oingo Boingo
6710,Tommy Roe,New Kids on the Block
6711,The Monkees,New Kids on the Block
6712,The Osmonds,New Kids on the Block
6713,Wham!,New Kids on the Block
6714,George Martin,John Williams
6715,Leonard Cohen,James Blunt
6716,Billy Joel,James Blunt
6717,Elliott Smith,James Blunt
6718,Pearl Jam,Days of the New
6719,Live,Days of the New
6720,New Riders of the Purple Sage,Railroad Earth
6721,Jerry Garcia,Railroad Earth
6722,Cake,OK Go
6723,Pixies,OK Go
6724,Nada Surf,OK Go
6725,Squeeze,OK Go
6726,Barry Manilow,James Blunt
6727,Madonna,New Kids on the Block
6728,The Shadows,John Lennon
6729,The Ronettes,John Lennon
6730,Art Garfunkel,James Blunt
6731,Nick Drake,James Blunt
6732,Richard Ashcroft,James Blunt
6733,The Beatles,The Monks
6734,Jeff Buckley,James Blunt
6735,John Lennon,James Blunt
6736,David Gray,James Blunt
6737,James Taylor,James Blunt
6738,Hilary Duff,Aly & AJ
6739,Leif Garrett,New Kids on the Block
6740,Bay City Rollers,New Kids on the Block
6741,Bee Gees,New Kids on the Block
6742,Metallica,Neurosis
6743,A Certain Ratio,Klaxons
6744,Giorgio Moroder,Madonna
6745,Let's Active,Matthew Sweet
6746,Lou Reed,Matthew Sweet
6747,Jeff Lynne,Matthew Sweet
6748,Flamin' Groovies,Matthew Sweet
6749,The Beatles,Madonna
6750,The Beau Brummels,Matthew Sweet
6751,Damien Jurado,Josh Ritter
6752,Beth Orton,Madonna
6753,Agent Orange,The Offspring
6754,Elvis Presley,Lee Hazlewood
6755,Cheap Trick,Matthew Sweet
6756,The Kinks,Matthew Sweet
6757,The Hollies,Matthew Sweet
6758,Ian Hunter,Matthew Sweet
6759,Badfinger,Matthew Sweet
6760,Suicidal Tendencies,The Offspring
6761,Sex Pistols,The Offspring
6762,ABBA,Madonna
6763,Voivod,Neurosis
6764,Pere Ubu,Oingo Boingo
6765,Thomas Dolby,Oingo Boingo
6766,The Archies,New Kids on the Block
6767,Jimi Hendrix,Ohio Players
6768,Weezer,The Matches
6769,David Bowie,Oingo Boingo
6770,Brian Eno,Oingo Boingo
6771,NOFX,The Matches
6772,Jerry Cantrell,Days of the New
6773,Foo Fighters,OK Go
6774,Green Day,OK Go
6775,Roxy Music,Oingo Boingo
6776,Cheap Trick,OK Go
6777,Little Richard,The Monks
6778,The Cars,OK Go
6779,Mark Lanegan,Days of the New
6780,Elvis Costello,OK Go
6781,XTC,Oingo Boingo
6782,Chris Cornell,Days of the New
6783,Wanda Jackson,Jeannie C. Riley
6784,Big Star,OK Go
6785,Sloan,OK Go
6786,The Kinks,OK Go
6787,The Beatles,Matt Costa
6788,Donavon Frankenreiter,Matt Costa
6789,Dick Dale,Junior Brown
6790,Styx,QueensrÃ¿che
6791,Kiss,Venom
6792,Judas Priest,QueensrÃ¿che
6793,Rush,QueensrÃ¿che
6794,The Soft Boys,R.E.M.
6795,Genesis,QueensrÃ¿che
6796,Pink Floyd,Small Faces
6797,Neil Young,R.E.M.
6798,NRBQ,R.E.M.
6799,Roky Erickson,R.E.M.
6800,Lou Reed,R.E.M.
6801,Indigo Girls,Mary Gauthier
6802,Bob Dylan,Love
6803,The Hollies,Love
6804,The Kinks,Love
6805,The Zombies,Love
6806,The Byrds,Love
6807,The Beatles,Love
6808,Eurythmics,Scandal
6809,Bob Dylan,R.E.M.
6810,Leonard Cohen,R.E.M.
6811,Queen,QueensrÃ¿che
6812,Black Sabbath,QueensrÃ¿che
6813,The Flying Burrito Brothers,Little Feat
6814,Dr. John,Little Feat
6815,Santana,Little Feat
6816,Nico,R.E.M.
6817,The Bonzo Dog Band,The Residents
6818,The Troggs,R.E.M.
6819,Moby Grape,R.E.M.
6820,David Bowie,R.E.M.
6821,Gang of Four,R.E.M.
6822,Boston,QueensrÃ¿che
6823,Van Halen,QueensrÃ¿che
6824,Meat Loaf,QueensrÃ¿che
6825,Pink Floyd,QueensrÃ¿che
6826,The Beau Brummels,R.E.M.
6827,Talking Heads,R.E.M.
6828,Rainbow,QueensrÃ¿che
